07/29/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/328fe7809dfcb209032585ae007abd64?OpenDocument
07/28/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/a10e8713e5dae04a032585ae007925c6?OpenDocument
07/28/2020;02:55:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/69af570edd1020c7032585ae0078ff50?OpenDocument
07/28/2020;02:50:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/df6af4ef8a110610032585ae0078d37e?OpenDocument
07/28/2020;02:45:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/2c24e62c321d9b85032585ae0078903c?OpenDocument
07/23/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/ecc793287d7ec88c032585a7008164f2?OpenDocument
07/23/2020;02:55:00 PM;2ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/bbf4ac7ef2b0c782032585ad0067f988?OpenDocument
07/23/2020;02:50:00 PM;1ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/f7705a11ae4fb512032585a700814093?OpenDocument
07/22/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/bf9a9921c12a202a032585a7008086e3?OpenDocument
07/22/2020;02:55:00 PM; Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/3109c6058fcc16fd032585a7008061c7?OpenDocument
07/21/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/f9b48a4454f78466032585a7007fa53a?OpenDocument
07/21/2020;02:55:00 PM; Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/68aca5551d0a250c032585a7007f5496?OpenDocument
07/16/2020;03:00:00 PM; Sessão Ordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/0958b6f6eaadc44a032585a000820aa8?OpenDocument
07/16/2020;02:55:00 PM;3ª Sessão Extraordinária;/ordemdia.nsf/c97e97dc1275d92503256bac007254ea/9fbd00cb149447ee032585a00081e476?OpenDocument
